1	2827	0	799a94	2bb7	1b4e81b	a58f	0	0	0	0	
2	19151	0	2591fe3	0	8d89e4e	0	0	0	0	0	
3	3473	0	2538d30	ffffd404	8d89e4e	ffff590f	0	0	0	0	
4	61	213	da740e	1afc4	0	0	0	0	0	0	
5	1992	255	140eac2	0	0	0	0	0	0	0	
6	61	255	3453ad	fffe503c	0	0	0	0	0	0	
7	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
8	13581	255	0	0	febf153e	0	0	0	0	0	
9	61	255	0	0	ffcbac53	1afc4	0	0	0	0	
10	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
11	1992	255	febf153e	0	0	0	0	0	0	0	
12	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
13	546	0	0	0	ff258bf2	ffff26b3	0	0	0	0	
14	546	0	0	0	fd56231d	d94d	0	0	0	0	
15	61	213	da740e	1afc4	0	0	0	0	0	0	
16	1992	255	140eac2	0	0	0	0	0	0	0	
17	61	255	3453ad	fffe503c	0	0	0	0	0	0	
18	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
19	13530	255	0	0	febf153e	0	0	0	0	0	
20	61	255	0	0	ffcbac53	1afc4	0	0	0	0	
21	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
22	1992	255	febf153e	0	0	0	0	0	0	0	
23	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
24	546	0	0	0	ff258bf2	ffff26b3	0	0	0	0	
25	546	0	0	0	fd56231d	d94d	0	0	0	0	
26	61	213	da740e	1afc4	0	0	0	0	0	0	
27	1992	255	140eac2	0	0	0	0	0	0	0	
28	61	255	3453ad	fffe503c	0	0	0	0	0	0	
29	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
30	13581	255	0	0	febf153e	0	0	0	0	0	
31	61	255	0	0	ffcbac53	1afc4	0	0	0	0	
32	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
33	1992	255	febf153e	0	0	0	0	0	0	0	
34	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
35	546	0	0	0	ff258bf2	ffff26b3	0	0	0	0	
36	546	0	0	0	fd56231d	d94d	0	0	0	0	
37	61	213	da740e	1afc4	0	0	0	0	0	0	
38	1992	255	140eac2	0	0	0	0	0	0	0	
39	61	255	3453ad	fffe503c	0	0	0	0	0	0	
40	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
41	13581	255	0	0	febf153e	0	0	0	0	0	
42	61	255	0	0	ffcbac53	1afc4	0	0	0	0	
43	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
44	1992	255	febf153e	0	0	0	0	0	0	0	
45	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
46	546	0	0	0	ff258bf2	ffff26b3	0	0	0	0	
47	546	0	0	0	fd56231d	d94d	0	0	0	0	
48	61	213	da740e	1afc4	0	0	0	0	0	0	
49	1992	255	140eac2	0	0	0	0	0	0	0	
50	61	255	3453ad	fffe503c	0	0	0	0	0	0	
51	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
52	13530	255	0	0	febf153e	0	0	0	0	0	
53	61	255	0	0	ffcbac53	1afc4	0	0	0	0	
54	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
55	1992	255	febf153e	0	0	0	0	0	0	0	
56	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
57	675	0	0	0	ff258bf2	ffff34d4	0	0	0	0	
58	675	0	0	0	fd0e728d	cb2c	0	0	0	0	
59	61	213	da740e	1afc4	0	0	0	0	0	0	
60	1992	255	140eac2	0	0	0	0	0	0	0	
61	61	255	3453ad	fffe503c	0	0	0	0	0	0	
62	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
63	10160	255	0	0	febf153e	0	0	0	0	0	
64	61	255	0	0	ffcbac53	1afc4	0	0	0	0	
65	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
66	1992	255	febf153e	0	0	0	0	0	0	0	
67	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
68	841	0	a4ded5	904a	da740e	bba5	0	0	0	0	
69	841	0	275bc24	ffff6fb6	32eeace	ffff445b	0	0	0	0	
70	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
71	1992	255	febf153e	0	0	0	0	0	0	0	
72	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
73	3415	0	da740e	8a7f	ff570733	ffff97ff	0	0	0	0	
74	2697	0	811a4d5	0	f9e98823	0	0	0	0	0	
75	3415	0	8167108	ffff7581	f9ef9b50	6801	0	0	0	0	
76	8563	255	0	0	fef9db23	0	0	0	0	0	
77	69	255	0	0	fef9db23	a40b	0	0	0	0	
78	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
79	2962	255	febf153e	0	0	0	0	0	0	0	
80	1325	255	ff0892bd	0	569971	0	0	0	0	0	
81	531	255	ff46a2de	0	b95d22	0	0	0	0	0	
82	923	255	ff83b7b3	0	e6cf6a	0	0	0	0	0	
83	875	255	0	0	10624dd	0	0	0	0	0	
84	923	255	7c484d	0	e6cf6a	0	0	0	0	0	
85	531	255	b95d22	0	b95d22	0	0	0	0	0	
86	1325	255	f76d43	0	569971	0	0	0	0	0	
87	3625	255	10624dd	0	0	0	0	0	0	0	
88	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
89	858	0	ff258bf2	ffff42f6	0	0	0	0	0	0	
